rank,original_hotspot_rank,cell_id,lon,lat,forest_region,loss_pct,gain_ratio,rank_score,l30_clear,s30_clear,hls_clear
82,65,0.0_30.0,32.500000000000036,2.4995980548581995,Global forest hotspot (approx.),11.098378107071,1.980198019802,0.099732644676,202,198,400
83,12,-5.0_15.0,17.499999999999982,-2.499598054858238,Congo Basin forests,11.588787265649,1.870967741935,0.098395103656,62,54,116
84,45,-10.0_-60.0,-57.5,-7.498733781403799,Amazon-Cerrado frontier,7.252000378352,2.952380952381,0.097162663173,63,123,186
85,55,-5.0_20.0,22.50000000000005,-2.4995980548582315,Congo Basin forests,6.866295269888,3,0.09347875666,33,66,99
86,36,0.0_20.0,22.500000000000046,2.49959805485823,Congo Basin forests,7.752926608575,2.654545454545,0.093395303199,55,91,146
87,72,15.0_95.0,97.5000000000001,17.49633788191135,Indochina forests,10.03593074495,2.006944444444,0.091403369016,144,145,289
88,77,0.0_15.0,17.49999999999998,2.49959805485824,Congo Basin forests,5.812794126408,3.176470588235,0.083791309435,34,74,108
89,58,-15.0_-55.0,-52.50000000000001,-12.497687944083449,Global forest hotspot (approx.),9.442892033081,1.909638554217,0.081832420175,166,151,317
90,19,0.0_10.0,12.499999999999948,2.4995980548582386,Congo Basin forests,8.501813458897,2.0625,0.079574647998,16,17,33
91,88,-10.0_-65.0,-62.50000000000004,-7.498733781403797,Amazon-Cerrado frontier,5.51453924889,2.828125,0.070774535902,64,117,181
92,73,55.0_15.0,17.50000000000004,57.452181777122675,Fennoscandian taiga,21.833595653249,0,0,0,0,0
93,90,-35.0_150.0,152.5,-32.486090514537395,Southeast Australian forests,16.905335163493,0,0,0,0,0
94,71,10.0_-85.0,-82.49999999999996,12.497687944083426,Maya forests,15.96594284347,0,0,0,0,0
95,56,-5.0_-45.0,-42.5,-2.499598054858254,Global forest hotspot (approx.),15.317467125616,0,0,0,0,0
96,53,15.0_105.0,107.50000000000004,17.496337881911376,Indochina forests,15.175572624867,0,0,0,0,0
97,66,60.0_15.0,17.499999999999986,62.43851972413156,Fennoscandian taiga,14.730005588558,0,0,0,0,0
98,61,15.0_-90.0,-87.50000000000004,17.496337881911366,Maya forests,11.800037427072,0,0,0,0,0
99,87,0.0_95.0,97.50000000000006,2.4995980548582484,Sundaland rainforests,11.217119783872,0,0,0,0,0
100,98,-5.0_115.0,117.50000000000007,-2.499598054858222,Borneo rainforests,10.16919027033,0,0,0,0,0
